WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
PALAMAS,39.464767,22.117249,8200,35424,Greece,Thessaly,EL61,Greece,5904
PALEROS,38.7988,20.8647,5000,21600,Greece,Western Greece,EL63,Greece,3600
PANAGHIA-POTAMIA THASSOU,40.71940726,24.74710156,20000,86400,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,14400
PANORMOS,35.39995073,24.69249298,5000,21600,Greece,Crete,EL43,Greece,3600
PARALIA OFRYNIOY,40.764957,23.92139,12600,54432,Greece,Central Macedonia,EL52,Greece,9072
PARGA,39.28506419,20.41909113,24000,103680,Greece,Epirus,EL54,Greece,17280
PATRA,38.20500663,21.71264231,195000,842400,Greece,Western Greece,EL63,Greece,140400
PEFKOCHORI,39.97192514,23.62007053,43333,187198.56,Greece,Central Macedonia,EL52,Greece,31199.76
PETRA,39.31644626,26.18096677,8915,38512.8,Greece,North Aegean,EL41,Greece,6418.8
PLATY,40.624948,22.564829,3035,13111.2,Greece,Central Macedonia,EL52,Greece,2185.2
PLOMARI,38.97591995,26.35311675,8932,38586.24,Greece,North Aegean,EL41,Greece,6431.04
POLYCHRONO,39.99413954,23.53728179,20000,86400,Greece,Central Macedonia,EL52,Greece,14400
POLYKASTRO,40.98007536,22.5804343,13000,56160,Greece,Central Macedonia,EL52,Greece,9360
POROS-GALATAS,37.52321637,23.43530746,15000,64800,Greece,Aττική,EL30,Greece,10800
PROSSOTSANI,41.16481701,23.95938608,10000,43200,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,7200
PTOLEMAIDA,40.51549265,21.71037992,51500,222480,Greece,Western Macedonia,EL53,Greece,37080
PYRGOS,37.63771813,21.44755232,35000,151200,Greece,Western Greece,EL63,Greece,25200
PYTHAGORIO,37.68833212,26.95219829,8000,34560,Greece,North Aegean,EL41,Greece,5760
SAMI,38.2739431,20.66766864,8867,38305.44,Greece,Ionian Islands,EL62,Greece,6384.24
SARTI,40.08409871,23.95940207,15000,64800,Greece,Central Macedonia,EL52,Greece,10800
SERIFOS,37.14690801,24.52590102,10660,46051.2,Greece,South Aegean,EL42,Greece,7675.2
SERRES,41.05572787,23.51766612,88000,380160,Greece,Central Macedonia,EL52,Greece,63360
SERVIA,40.208943,21.989979,7500,32400,Greece,Western Macedonia,EL53,Greece,5400
SIMANTRA,40.329624,23.312687,3870,16718.4,Greece,Central Macedonia,EL52,Greece,2786.4
SITIA CRETE,35.22596054,26.11214716,20000,86400,Greece,Crete,EL43,Greece,14400
SKALA LAKONIAS,36.833271,22.650128,7000,30240,Greece,Peloponnese,EL65,Greece,5040
SKOPELOS,39.10428675,23.72349301,15000,64800,Greece,Thessaly,EL61,Greece,10800
SKYDRA,40.7586063,22.16812553,16000,69120,Greece,Central Macedonia,EL52,Greece,11520
SKYROS,38.9376066,24.56032798,7500,32400,Greece,Thessaly,EL61,Greece,5400
SOFADES,39.326764,22.147687,6800,29376,Greece,Thessaly,EL61,Greece,4896
SOUFLI,41.1953126,26.31667038,9650,41688,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,6948
SPARTI,37.07057828,22.44756308,40000,172800,Greece,Peloponnese,EL65,Greece,28800
SPERCHIADA,38.93238884,22.12896649,9600,41472,Greece,Central Greece,EL64,Greece,6912
SYKEA,40.036538,23.960515,2000,8640,Greece,Central Macedonia,EL52,Greece,1440
THASSOS,40.77518246,24.68400859,15000,64800,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,10800
THERMI,40.52294066,23.01951483,13333,57598.56,Greece,Central Macedonia,EL52,Greece,9599.76
THESSALONIKI,40.66084791,22.83382081,1333000,5758560,Greece,Central Macedonia,EL52,Greece,959760
THESSALONIKI-TOURISTIC ZONE,40.48038007,22.83120422,91667,396001.44,Greece,Central Macedonia,EL52,Greece,66000.24
THIRA (FIRA),36.43436855,25.45702326,10833,46798.56,Greece,South Aegean,EL42,Greece,7799.76
THIVA,38.34167705,23.34260616,40000,172800,Greece,Central Greece,EL64,Greece,28800
THRIASSIO,38.04723198,23.56818448,117000,505440,Greece,Aττική,EL30,Greece,84240
TINOS,37.544804,25.17714,14062,60747.84,Greece,South Aegean,EL42,Greece,10124.64
TITHOREA,38.60072585,22.74060312,12000,51840,Greece,Central Greece,EL64,Greece,8640
TOLO,37.51308409,22.85485285,18129,78317.28,Greece,Peloponnese,EL65,Greece,13052.88
TRIKALA,39.5486286,21.80146403,75000,324000,Greece,Thessaly,EL61,Greece,54000
TRIPOLI,37.50974885,22.41837328,68133,294334.56,Greece,Peloponnese,EL65,Greece,49055.76
TYBAKIO,35.07399726,24.74778316,10700,46224,Greece,Crete,EL43,Greece,7704
TYRNAVOS,39.74246771,22.30402427,19500,84240,Greece,Thessaly,EL61,Greece,14040
VASSILIKI,38.61922086,20.58503356,5000,21600,Greece,Ionian Islands,EL62,Greece,3600
VELVENDOS,40.259516,22.044411,5400,23328,Greece,Western Macedonia,EL53,Greece,3888
VERIA,40.56050089,22.27630848,69700,301104,Greece,Central Macedonia,EL52,Greece,50184
VILIA,38.15544659,23.34428142,10833,46798.56,Greece,Aττική,EL30,Greece,7799.76
VOLOS,39.35260591,22.92021596,186660,806371.2,Greece,Thessaly,EL61,Greece,134395.2
VONITSA,38.91639299,20.87554582,8000,34560,Greece,Western Greece,EL63,Greece,5760
XANTHI,41.09129721,24.88163989,90000,388800,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,64800
XYLOKASTRO,38.078658,22.59554472,17500,75600,Greece,Peloponnese,EL65,Greece,12600
YANNITSA,40.76934976,22.40510457,27700,119664,Greece,Central Macedonia,EL52,Greece,19944
YANNOULI,39.66934002,22.42574124,10833,46798.56,Greece,Thessaly,EL61,Greece,7799.76
ZACHARO,37.4818957,21.63582876,5000,21600,Greece,Western Greece,EL63,Greece,3600
ZAKYNTHOS,37.75847823,20.884199,43333,187198.56,Greece,Ionian Islands,EL62,Greece,31199.76
AEDIPSOS,38.84010172,23.08425625,23000,99360,Greece,Central Greece,EL64,Greece,16560
ARGOSTOLI,38.17594803,20.47877101,30000,129600,Greece,Ionian Islands,EL62,Greece,21600
EMPORIO THIRAS,36.34421981,25.44698465,13500,58320,Greece,South Aegean,EL42,Greece,9720
ERMOUPOLI,37.42926906,24.9522684,28067,121249.44,Greece,South Aegean,EL42,Greece,20208.24
FILIATRA,37.14167713,21.57329207,7894,34102.08,Greece,Western Greece,EL63,Greece,5683.68
IA,36.47280728,25.37250336,10833,46798.56,Greece,South Aegean,EL42,Greece,7799.76
IGOUMENITSA,39.49138669,20.21332856,27000,116640,Greece,Epirus,EL54,Greece,19440
IOS,36.74229162,25.26309915,20324,87799.68,Greece,South Aegean,EL42,Greece,14633.28
KARPATHOS,35.50413,27.235458,8240,35596.8,Greece,Crete,EL43,Greece,5932.8
KOS,36.87695183,27.33981797,53383,230614.56,Greece,South Aegean,EL42,Greece,38435.76
KREMASTI,36.41382357,28.11250559,12350,53352,Greece,South Aegean,EL42,Greece,8892
LAVRIO,37.74801162,24.05996556,35000,151200,Greece,Aττική,EL30,Greece,25200
LEFKIMMI,39.39573105,20.09379365,33000,142560,Greece,Ionian Islands,EL62,Greece,23760
LEROS,37.15084938,26.8704914,10833,46798.56,Greece,South Aegean,EL42,Greece,7799.76
LIXOURI,38.20298774,20.42446211,9200,39744,Greece,Ionian Islands,EL62,Greece,6624
MALESSINA,38.63397671,23.27928208,8000,34560,Greece,Central Greece,EL64,Greece,5760
MESSARIA THIRAS,36.39096164,25.48503426,24350,105192,Greece,South Aegean,EL42,Greece,17532
METHONI,36.83454675,21.69945922,10330,44625.6,Greece,Peloponnese,EL65,Greece,7437.6
MYKONOS,37.40339043,25.30625582,32000,138240,Greece,South Aegean,EL42,Greece,23040
NAOUSSA-PAROS,37.13997002,25.21436606,14300,61776,Greece,South Aegean,EL42,Greece,10296
PAROIKIA-PAROS,37.1025866,25.14312009,25000,108000,Greece,South Aegean,EL42,Greece,18000
PATMOS,37.3169647,26.53338191,6000,25920,Greece,North Aegean,EL41,Greece,4320
PREVEZA,38.98270627,20.72463031,25000,108000,Greece,Western Greece,EL63,Greece,18000
PSYTTALIA,37.9384322,23.58396887,5630000,24321600,Greece,Aττική,EL30,Greece,4053600
PYLOS,36.90195471,21.68987266,17330,74865.6,Greece,Peloponnese,EL65,Greece,12477.6
RETHYMNO,35.36829852,24.44403519,60000,259200,Greece,Crete,EL43,Greece,43200
RODOS,36.38924545,28.24270131,154683,668230.56,Greece,South Aegean,EL42,Greece,111371.76
SKALA KEFALLINIAS,38.1135987,20.80194734,15000,64800,Greece,Ionian Islands,EL62,Greece,10800
SKIATHOS,39.1784938,23.51220324,26000,112320,Greece,Thessaly,EL61,Greece,18720
