location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"50.388055555, -4.150833333",Home Park,,,677.0,17900.0,,Home Park,52.3754
"53.620833, -2.18",Spotland Stadium,,,387.0,10249.0,,Spotland Stadium,23.6752
"52.235197, -0.93345",Sixfields Stadium,,,289.0,7653.0,,Sixfields Stadium,17.6784
"53.765356, -2.370911",Crown Ground,,,191.0,5057.0,,Crown Ground,11.6817
"46.246667, 15.270278",Stadion Z'dežele,Slovenia,Vzhodna Slovenija,492.0,13006.0,SI,Stadion Z'dežele,30.0439
"52.062778, 4.383056",WerkTalent Stadion,Netherlands,Zuid-Holland,567.0,15000.0,NL,WerkTalent Stadion,43.89
"59.972953, 30.220533",Gazprom Arena,,,2563.0,67800.0,,Gazprom Arena,261.03
"59.972953, 30.220533",Gazprom Arena,,,2575.0,68134.0,,Gazprom Arena,261.03
"59.972953, 30.220533",Gazprom Arena,,,3024.0,80000.0,,Gazprom Arena,261.03
"54.0615, -2.86716",Globe Arena,,,245.0,6476.0,,Globe Arena,14.9596
"-23.600125, -46.720155555",Estádio do Morumbi,,,2535.0,67052.0,,Estádio do Morumbi,258.15
"-23.600125, -46.720155555",Estádio do Morumbi,,,2691.0,71200.0,,Estádio do Morumbi,258.15
"-23.600125, -46.720155555",Estádio do Morumbi,,,4536.0,120000.0,,Estádio do Morumbi,258.15
"44.20575, 17.907083",Bilino Polje Stadium,BA,Federacija Bosne i Hercegovine,590.0,15600.0,BA,Bilino Polje Stadium,45.6456
"35.527974, 140.071639",Ichihara Seaside Stadium,,,531.0,14051.0,,Ichihara Seaside Stadium,32.4578
"51.686944, 5.088611",Mandemakers Stadion,Netherlands,Noord-Brabant,284.0,7500.0,NL,Mandemakers Stadion,17.325
"5.056233, -75.489807",Estadio Palogrande,,,1382.0,36553.0,,Estadio Palogrande,106.954
"53.804222222, -1.759022222",Valley Parade,,,950.0,25136.0,,Valley Parade,73.5479
"45.542356, 13.730453",Bonifika Stadium,Slovenia,Zahodna Slovenija,153.0,4047.0,SI,Bonifika Stadium,7.79047
"51.5478, 0.159867",Victoria Road,,,230.0,6078.0,,Victoria Road,14.0402
"56.95516667, 24.15886111",Daugava Stadium,Latvia,Latvija,395.0,10461.0,LV,Daugava Stadium,24.1649
"51.564444, -1.770556","County Ground, Swindon",,,556.0,14700.0,,"County Ground, Swindon",33.957
"55.8178, 37.4403",Lukoil Arena,,,1715.0,45360.0,,Lukoil Arena,174.636
"35.894863888, 14.415372222",Ta' Qali National Stadium,Malta,Malta,673.0,17797.0,MT,Ta' Qali National Stadium,52.074
"-23.545555555, -46.474",Neo Química Arena,,,1786.0,47252.0,,Neo Química Arena,181.92
"53.206111111, 6.591388888",Euroborg,Netherlands,Groningen,853.0,22579.0,NL,Euroborg,66.0662
"42.255141666, 42.683086111",Ramaz Shengelia Stadium,,,404.0,10700.0,,Ramaz Shengelia Stadium,24.717
"45.025277777, 38.999444444",Kuban Stadium,,,1197.0,31654.0,,Kuban Stadium,92.6196
"47.9, 106.916111",MFF Football Centre,,,132.0,3500.0,,MFF Football Centre,6.7375
"47.9, 106.916111",MFF Football Centre,,,132.0,3500.0,,MFF Football Centre,6.7375
"51.716419, -1.208067",Kassam Stadium,,,473.0,12500.0,,Kassam Stadium,28.875
"52.078333333, 5.145833333",Stadion Galgenwaard,Netherlands,Utrecht,898.0,23750.0,NL,Stadion Galgenwaard,69.4925
"53.049722, -2.1925",Vale Park,,,720.0,19052.0,,Vale Park,55.7462
"36.747777777, 10.272777777",Olympic Stadium of Radès,,,2457.0,65000.0,,Olympic Stadium of Radès,250.25
"50.730713888, -3.52115",St James Park,,,323.0,8541.0,,St James Park,19.7297
"53.4279, -1.362",New York Stadium,,,454.0,12021.0,,New York Stadium,27.7685
"46.468389, 30.748444",Spartak Stadium,,,181.0,4800.0,,Spartak Stadium,9.24
"51.351944, 6.179722",De Koel,Netherlands,Limburg (NL),284.0,7500.0,NL,De Koel,17.325
"40.452778, 17.27",Stadio Erasmo Iacovone,Italy,Puglia,1043.0,27584.0,IT,Stadio Erasmo Iacovone,80.7108
"42.83722222, 74.60083333",Dynamo Stadion,,,378.0,10000.0,,Dynamo Stadion,23.1
"42.880175, 74.59793889",Spartak Stadium,,,869.0,23000.0,,Spartak Stadium,67.298
"38.026667, 46.295833",Yadegar-e Emam Stadium,,,2526.0,66833.0,,Yadegar-e Emam Stadium,257.307
"41.018056, 21.338889",Stadion Tumbe Kafe,MK,Severna Makedonija,302.0,8000.0,MK,Stadion Tumbe Kafe,18.48
"49.231311, 17.669425",Letná Stadion,Czechia,Střední Morava,241.0,6375.0,CZ,Letná Stadion,14.7263
"46.668611, 16.1575",Fazanerija City Stadium,Slovenia,Vzhodna Slovenija,143.0,3782.0,SI,Fazanerija City Stadium,7.28035
"2.04194444, 45.35666667",Banadir Stadium,,,567.0,15000.0,,Banadir Stadium,43.89
"45.6039, 10.5128",Stadio Lino Turina,Italy,Lombardia,95.0,2500.0,IT,Stadio Lino Turina,4.8125
"45.60394444, 10.51308333",Stadio Lino Turina,Italy,Lombardia,95.0,2500.0,IT,Stadio Lino Turina,4.8125
"44.75444444, 19.225",Bijeljina City Stadium,BA,Republika Srpska,227.0,6000.0,BA,Bijeljina City Stadium,13.86
"37.9217, -1.19333",Q5847924,Spain,Región de Murcia,95.0,2500.0,ES,Q5847924,4.8125
"32.743267, 51.686203",Naghsh-e-Jahan Stadium,,,1701.0,45000.0,,Naghsh-e-Jahan Stadium,173.25
"21.762627, 39.165096",King Abdullah Sports City,,,2357.0,62345.0,,King Abdullah Sports City,240.028
