location,name,country,province,kg_n_per_year,students,country_code,name_en,kg_p_per_year
"37.95111111, 23.73877778",National and Kapodistrian University of Athens,Greece,Attica,55018.15638,66257,Greece,National and Kapodistrian University of Athens,5501.815638
"37.9596291, 23.7170648",Panteion University,Greece,Attica,15361.9375,18500,Greece,Panteion University,1536.19375
"39.62, 20.84",University of Ioannina,Greece,Epirus,20759.375,25000,Greece,University of Ioannina,2075.9375
"40.6253, 22.96",University of Macedonia,Greece,Central Macedonia,6643,8000,Greece,University of Macedonia,664.3
"38.28666667, 21.78638889",University of Patras,,,17437.875,21000,,University of Patras,1743.7875
"23.732, 37.978",National Technical University of Athens (NTUA),,,12306.98788,14821,,National Technical University of Athens (NTUA),1230.698788
"23.679, 38.011",University of West Attica,,,33215,40000,,University of West Attica,3321.5
"23.707, 37.964",Harokopio University,,,2757.675375,3321,,Harokopio University,275.7675375
"23.732, 38.015",Athens University of Economics and Business (AUEB),,,10243.506,12336,,Athens University of Economics and Business (AUEB),1024.3506
"23.722, 37.951",Panteion University of Social and Political Sciences,,,8303.75,10000,,Panteion University of Social and Political Sciences,830.375
"23.653, 37.941",University of Piraeus,,,13722.77725,16526,,University of Piraeus,1372.277725
"23.783, 38.016",School of Pedagogical and Technological Education (ASPETE),,,3321.5,4000,,School of Pedagogical and Technological Education (ASPETE),332.15
"23.7092, 37.9834",Agricultural University of Athens,Greece,Attica,2491.125,3000,Greece,Agricultural University of Athens,249.1125
"22.9484, 39.3577",University of Thessaly,Greece,Thessaly,14573.08125,17550,Greece,University of Thessaly,1457.308125
"48.8469, 2.3553",Sorbonne University,France,Ile-de-France,19557.82238,23553,FR,Sorbonne University,1955.782238
"48.8296, 2.3814",UniversitÃ© Paris CitÃ©,France,Ile-de-France,19774.55025,23814,FR,UniversitÃ© Paris CitÃ©,1977.455025
"48.8467, 2.3448",Paris 1 PanthÃ©on-Sorbonne University,France,Ile-de-France,19470.633,23448,FR,Paris 1 PanthÃ©on-Sorbonne University,1947.0633
"48.8547, 2.3286",Sciences Po,France,Ile-de-France,19336.11225,23286,FR,Sciences Po,1933.611225
"48.8706, 2.2729",Paris Dauphine University â PSL,France,Ile-de-France,18873.59338,22729,FR,Paris Dauphine University â PSL,1887.359338
"48.7132, 2.2084",Ãcole Polytechnique,France,Ile-de-France,18338.0015,22084,FR,Ãcole Polytechnique,1833.80015
"48.841, 2.5879",Ãcole nationale des ponts et chaussÃ©es (ENPC),France,Ile-de-France,21489.27463,25879,FR,Ãcole nationale des ponts et chaussÃ©es (ENPC),2148.927463
"48.903, 2.2139",Paris Nanterre University,France,Ile-de-France,18383.67213,22139,FR,Paris Nanterre University,1838.367213
"48.7889, 2.442",Paris-East CrÃ©teil University (UPEC),France,Ile-de-France,2027.77575,2442,FR,Paris-East CrÃ©teil University (UPEC),202.777575
"48.8397, 2.5872",Gustave Eiffel University,France,Ile-de-France,21483.462,25872,FR,Gustave Eiffel University,2148.3462
