location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"48.8256, 8.86083",Justizvollzugsanstalt Heimsheim,Germany,Karlsruhe,732.0,441.0,DE,Justizvollzugsanstalt Heimsheim,73.2391
"52.1228, 8.6775",Justizvollzugsanstalt Herford,Germany,Detmold,590.0,355.0,DE,Justizvollzugsanstalt Herford,58.9566
"48.7668, 10.8001",Justizvollzugsanstalt Kaisheim,Germany,Schwaben,998.0,601.0,DE,Justizvollzugsanstalt Kaisheim,99.8111
"51.7768, 6.13518",Q1714406,Germany,Düsseldorf,389.0,234.0,DE,Q1714406,38.8616
"47.6638, 9.17226",Justizvollzugsanstalt Konstanz,Germany,Freiburg,233.0,140.0,DE,Justizvollzugsanstalt Konstanz,23.2505
"49.5102, 8.47954",Justizvollzugsanstalt Mannheim,Germany,Karlsruhe,1241.0,747.0,DE,Justizvollzugsanstalt Mannheim,124.058
"52.5247, 13.3547",Moabit Prison,Germany,Berlin,1613.0,971.0,DE,Moabit Prison,161.259
"48.736156, 11.17843",Q1714421,Germany,Oberbayern,121.0,73.0,DE,Q1714421,12.1235
"48.1232, 11.5834",Justizvollzugsanstalt München,Germany,Oberbayern,206.0,124.0,DE,Justizvollzugsanstalt München,20.5933
"48.7338, 11.2251",Neuburg-Herrenwörth prison,Germany,Oberbayern,340.0,205.0,DE,Neuburg-Herrenwörth prison,34.0454
"48.719, 10.9308",Justizvollzugsanstalt Niederschönenfeld,Germany,Schwaben,433.0,261.0,DE,Justizvollzugsanstalt Niederschönenfeld,43.3456
"49.4557, 11.048",Justizvollzugsanstalt Nürnberg,Germany,Mittelfranken,1915.0,1153.0,DE,Justizvollzugsanstalt Nürnberg,191.484
"50.63, 6.94056",Rheinbach penitentiary,Germany,Köln,920.0,554.0,DE,Rheinbach penitentiary,92.0055
"47.96962952, 11.21817622",Justiz-Vollzugsanstalt (Rothenfeld),Germany,Oberbayern,181.0,109.0,DE,Justiz-Vollzugsanstalt (Rothenfeld),18.1022
"49.9553, 11.5894",St. Georgen-Bayreuth prison,Germany,Oberfranken,1513.0,911.0,DE,St. Georgen-Bayreuth prison,151.294
"49.84683611, 10.49618333",Q15115828,Germany,Oberfranken,560.0,337.0,DE,Q15115828,55.9673
"53.10801, 8.20605",Justizvollzugsanstalt Oldenburg,Germany,Weser-Ems,726.0,437.0,DE,Justizvollzugsanstalt Oldenburg,72.5748
"48.67722222, 10.15444444",Justizvollzugsanstalt Heidenheim,Germany,Stuttgart,75.0,45.0,DE,Justizvollzugsanstalt Heidenheim,7.47337
"48.455342, 10.855106",Justizvollzugsanstalt Augsburg-Gablingen,Germany,Schwaben,1011.0,609.0,DE,Justizvollzugsanstalt Augsburg-Gablingen,101.14
"47.82333333, 12.39555556",Justizvollzugsanstalt Bernau am Chiemsee,Germany,Oberbayern,1511.0,910.0,DE,Justizvollzugsanstalt Bernau am Chiemsee,151.128
"49.798179, 10.004074",Justizvollzugsanstalt Würzburg,Germany,Unterfranken,812.0,489.0,DE,Justizvollzugsanstalt Würzburg,81.2107
"43.2258, 27.8926",Varna Prison,Bulgaria,Severoiztochen,995.0,599.0,BG,Varna Prison,99.4789
