WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
Pszczew,52.25,15.45,6750,29565.0,Poland,Lubuskie,PL43,Poland
Torzym,52.3201,15.0739,5500,24090.0,Poland,Lubuskie,PL43,Poland
Lubniewice,52.5087,15.248,4500,19710.0,Poland,Lubuskie,PL43,Poland
Trzebiechów,52.024,15.7365,4406,19298.28,Poland,Lubuskie,PL43,Poland
Małomice,51.562,15.4378,4500,19710.0,Poland,Lubuskie,PL43,Poland
Czerwieńsk,52.0157,15.425,11000,48180.0,Poland,Lubuskie,PL43,Poland
Ośno Lubuskie,52.46049,14.88073,6800,29784.0,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków w Łęknicy,51.5383,14.7331,2961,12969.18,Germany,Dresden,DED2,Germany
Babimost,52.1567,15.8383,6595,28886.1,Poland,Lubuskie,PL43,Poland
Bytom Odrzański,51.7323,15.7975,10800,47304.0,Poland,Lubuskie,PL43,Poland
Grupowa Oczyszczalnia Ścieków w Szlichtyngowej,51.71935,16.23012,5150,22557.0,Poland,Dolnośląskie,PL51,Poland
Cybinka,52.1942,14.7862,3300,14454.0,Poland,Lubuskie,PL43,Poland
OŚ Przyborów,52.5749,14.7805,4800,21024.0,Poland,Lubuskie,PL43,Poland
Miejska Oczyszczalnia Ścieków,52.9666,15.7638,6258,27410.04,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków w Jasieniu,51.4546,15.0104,4948,21672.24,Poland,Lubuskie,PL43,Poland
Przytoczna,52.5812,15.6773,4383,19197.54,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków w Górzycy,52.4861,14.6436,3300,14454.0,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Gozdnica,51.4426,15.10148,3600,15768.0,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków w Niegosławicach,51.35463,15.44004,4529,19837.02,Poland,Dolnośląskie,PL51,Poland
Oczyszczalnia Ścieków w Mycielinie,51.38458,15.41183,270,1182.6,Poland,Dolnośląskie,PL51,Poland
Gronów,52.3078,15.2971,9042,39603.96,Poland,Lubuskie,PL43,Poland
Trzciel,52.37013,15.87433,4295,18812.1,Poland,Lubuskie,PL43,Poland
Lubrza,52.31864,15.44,3225,14125.5,Poland,Lubuskie,PL43,Poland
APIS,51.5652,15.1737,2000,8760.0,Poland,Lubuskie,PL43,Poland
ECOLO-CHIEFF,51.522,15.2239,4500,19710.0,Poland,Lubuskie,PL43,Poland
Cibórz,52.148,15.4113,9420,41259.6,Poland,Lubuskie,PL43,Poland
Wędrzyn,52.4421,15.1919,3420,14979.6,Poland,Lubuskie,PL43,Poland
Kraków-Płaszów,50.0326,20.0218,780000,3416400.0,Poland,Małopolskie,PL21,Poland
Kraków-Kujawy,50.0527,20.1048,373000,1633740.0,Poland,Małopolskie,PL21,Poland
Wadów,50.0918,20.1304,2707,11856.66,Poland,Małopolskie,PL21,Poland
Tarnów,50.0274,20.93956,460800,2018304.0,Poland,Małopolskie,PL21,Poland
GOŚ Chrzanów,50.1116,19.3755,99999,437995.62,Poland,Małopolskie,PL21,Poland
Nowy Targ,49.4855,20.0538,116200,508956.0,Poland,Małopolskie,PL21,Poland
Komunalna Oczyszczalnia Ścieków w Nowym Sączu,49.6585,20.6844,180000,788400.0,Poland,Małopolskie,PL21,Poland
Łęgi,49.31221,19.96766,51500,225570.0,Poland,Małopolskie,PL21,Poland
Spyrkówka,49.31318,19.96987,48067,210533.46,Poland,Małopolskie,PL21,Poland
